-50.0,2.2534e-06
-49.0,2.2828e-06
-48.0,2.3165999999999996e-06
-47.0,2.357e-06
-46.0,2.3932999999999996e-06
-45.0,2.4288e-06
-44.0,2.457e-06
-43.0,2.5042e-06
-42.0,2.5354000000000003e-06
-41.0,2.5775999999999997e-06
-40.0,2.6138000000000003e-06
-39.0,2.6634e-06
-38.0,2.7012000000000005e-06
-37.0,2.7403e-06
-36.0,2.7874000000000006e-06
-35.0,2.8328000000000002e-06
-34.0,2.8633999999999996e-06
-33.0,2.8978000000000004e-06
-32.0,2.9339999999999998e-06
-31.0,2.9760999999999998e-06
-30.0,3.0183999999999998e-06
-29.0,3.0596000000000003e-06
-28.0,3.0926000000000003e-06
-27.0,3.125899999999999e-06
-26.0,3.1740000000000004e-06
-25.0,3.2146e-06
-24.0,3.2542e-06
-23.0,3.2808e-06
-22.0,3.3211000000000003e-06
-21.0,3.3512e-06
-20.0,3.3908999999999996e-06
-19.0,3.4151999999999995e-06
-18.0,3.4442e-06
-17.0,3.4771e-06
-16.0,3.5008e-06
-15.0,3.5298e-06
-14.0,3.5573999999999996e-06
-13.0,3.5821999999999998e-06
-12.0,3.5989999999999993e-06
-11.0,3.6228999999999997e-06
-10.0,3.6443999999999998e-06
-9.0,3.6618000000000002e-06
-8.0,3.6702e-06
-7.0,3.685400000000001e-06
-6.0,3.6994000000000005e-06
-5.0,3.7149000000000006e-06
-4.0,3.7238e-06
-3.0,3.7242999999999996e-06
-2.0,3.7372e-06
-1.0,3.7498e-06
0.0,3.7432000000000004e-06
1.0,3.7474e-06
2.0,3.7503999999999997e-06
3.0,3.7509999999999997e-06
4.0,3.7395999999999997e-06
5.0,3.7378e-06
6.0,3.7323999999999996e-06
7.0,3.7239e-06
8.0,3.7049e-06
9.0,3.6988e-06
10.0,3.697e-06
11.0,3.6858e-06
12.0,3.6576000000000004e-06
13.0,3.6504000000000002e-06
14.0,3.6289000000000005e-06
15.0,3.6102e-06
16.0,3.5815999999999997e-06
17.0,3.5645999999999997e-06
18.0,3.5340999999999998e-06
19.0,3.5206000000000002e-06
20.0,3.484e-06
21.0,3.4566999999999994e-06
22.0,3.4308000000000003e-06
23.0,3.3957e-06
24.0,3.3684e-06
25.0,3.3320000000000005e-06
26.0,3.3028999999999998e-06
27.0,3.2614000000000002e-06
28.0,3.2256000000000005e-06
29.0,3.1914e-06
30.0,3.1602e-06
31.0,3.113e-06
32.0,3.0758e-06
33.0,3.0463999999999993e-06
34.0,3.0052000000000005e-06
35.0,2.9605e-06
36.0,2.9196000000000004e-06
37.0,2.8823999999999997e-06
38.0,2.8466e-06
39.0,2.7966000000000005e-06
40.0,2.7622000000000004e-06
41.0,2.7224e-06
42.0,2.679e-06
43.0,2.6406000000000006e-06
44.0,2.6024e-06
45.0,2.5598e-06
46.0,2.5228e-06
47.0,2.4822e-06
48.0,2.4390000000000007e-06
49.0,2.4032e-06
50.0,2.3648000000000006e-06
